time,10.0.0.103,10.0.0.24
2016-10-12 23:20:00,125.0,152.0
2016-10-12 23:40:00,169.0,195.0
2016-10-13 00:00:00,189.0,204.0
2016-10-13 00:20:00,163.0,232.0
2016-10-13 00:40:00,177.0,199.0
2016-10-13 01:00:00,172.0,202.0
2016-10-13 01:20:00,175.0,229.0
2016-10-13 01:40:00,163.0,192.0
2016-10-13 02:00:00,189.0,209.0
2016-10-13 02:20:00,186.0,184.0
2016-10-13 02:40:00,188.0,202.0
2016-10-13 03:00:00,181.0,197.0
2016-10-13 03:20:00,178.0,181.0
2016-10-13 03:40:00,178.0,180.0
2016-10-13 04:00:00,178.0,184.0
2016-10-13 04:20:00,182.0,205.0
2016-10-13 04:40:00,168.0,218.0
2016-10-13 05:00:00,169.0,195.0
2016-10-13 05:20:00,157.0,187.0
2016-10-13 05:40:00,186.0,202.0
2016-10-13 06:00:00,186.0,204.0
2016-10-13 06:20:00,160.0,211.0
2016-10-13 06:40:00,168.0,207.0
2016-10-13 07:00:00,183.0,214.0
2016-10-13 07:20:00,174.0,219.0
2016-10-13 07:40:00,186.0,214.0
2016-10-13 08:00:00,163.0,215.0
2016-10-13 08:20:00,165.0,214.0
2016-10-13 08:40:00,196.0,193.0
2016-10-13 09:00:00,179.0,206.0
2016-10-13 09:20:00,168.0,197.0
2016-10-13 09:40:00,174.0,234.0
2016-10-13 10:00:00,181.0,211.0
2016-10-13 10:20:00,165.0,227.0
2016-10-13 10:40:00,156.0,191.0
2016-10-13 11:00:00,191.0,192.0
2016-10-13 11:20:00,177.0,217.0
2016-10-13 11:40:00,163.0,216.0
2016-10-13 12:00:00,193.0,177.0
2016-10-13 12:20:00,165.0,208.0
2016-10-13 12:40:00,164.0,194.0
2016-10-13 13:00:00,198.0,198.0
2016-10-13 13:20:00,187.0,201.0
2016-10-13 13:40:00,184.0,205.0
2016-10-13 14:00:00,190.0,213.0
2016-10-13 14:20:00,181.0,219.0
2016-10-13 14:40:00,165.0,170.0
2016-10-13 15:20:00,20.0,0.0
2016-10-13 15:40:00,19.0,0.0
2016-10-13 16:00:00,28.0,0.0
2016-10-13 16:20:00,31.0,0.0
2016-10-13 16:40:00,19.0,0.0
2016-10-13 17:00:00,24.0,0.0
2016-10-13 17:20:00,27.0,0.0
2016-10-13 17:40:00,20.0,0.0
2016-10-13 18:00:00,27.0,0.0
2016-10-13 18:20:00,20.0,0.0
2016-10-13 18:40:00,59.0,0.0
2016-10-13 19:00:00,186.0,0.0
2016-10-13 19:20:00,183.0,0.0
2016-10-13 19:40:00,163.0,0.0
2016-10-13 20:00:00,184.0,0.0
2016-10-13 20:20:00,177.0,0.0
2016-10-13 20:40:00,193.0,0.0
2016-10-13 21:00:00,165.0,0.0
2016-10-13 21:20:00,184.0,0.0
2016-10-13 21:40:00,166.0,0.0
2016-10-13 22:00:00,180.0,0.0
2016-10-13 22:20:00,159.0,0.0
2016-10-13 22:40:00,175.0,0.0
2016-10-13 23:00:00,194.0,0.0
